Implementation;K;N;M;T;max_iterations;Flops;Cylces;Iterations;Performance;Memory (aprox.)(bytes);Benchmark time(s)
Baseline;16;16;16;32;500;1235232;894038031.000000;371;0.690816;1296416;7.529544
jc-reordered;16;16;16;32;500;1235232;729833110.500000;371;0.846243;1296416;6.144365
scalar-reorder;16;16;16;32;500;1235232;715382056.550000;371;0.863337;1296416;6.023075
scalar-blocking;16;16;16;32;500;1235232;404596146.800000;371;1.526500;1296416;3.407471
other-unroll;16;16;16;32;500;1235232;231611658.300000;371;2.666602;1296416;1.952141
vector_optimized;16;16;16;32;500;1235232;337513676.500000;371;1.829899;1296416;2.843503
combined;16;16;16;32;500;1235232;183018882.600000;371;3.374603;1296416;1.542551
Baseline;16;16;32;32;500;1243680;1049682798.000000;240;0.592408;1298464;8.839245
jc-reordered;16;16;32;32;500;1243680;914278872.300000;240;0.680143;1298464;7.692667
scalar-reorder;16;16;32;32;500;1243680;923763021.450000;240;0.673160;1298464;7.775587
scalar-blocking;16;16;32;32;500;1243680;522644324.100000;240;1.189796;1298464;4.402573
other-unroll;16;16;32;32;500;1243680;259969044.900000;240;2.391977;1298464;2.189763
vector_optimized;16;16;32;32;500;1243680;392561887.000000;240;1.584056;1298464;3.307563
combined;16;16;32;32;500;1243680;216126553.950000;240;2.877203;1298464;1.821322
Baseline;16;16;64;32;500;1260576;1411145192.600000;114;0.446650;1302560;11.883066
jc-reordered;16;16;64;32;500;1260576;1269133530.850000;114;0.496629;1302560;10.690355
scalar-reorder;16;16;64;32;500;1260576;1263121400.950000;114;0.498992;1302560;10.622428
scalar-blocking;16;16;64;32;500;1260576;836479291.650000;114;0.753501;1302560;7.038055
other-unroll;16;16;64;32;500;1260576;298335929.200000;114;2.112679;1302560;2.513835
vector_optimized;16;16;64;32;500;1260576;500607621.900000;114;1.259046;1302560;4.216478
combined;16;16;64;32;500;1260576;267657353.050000;114;2.354832;1302560;2.255112
Baseline;16;16;128;32;500;1294368;2137751617.450000;278;0.302741;1310752;17.999994
jc-reordered;16;16;128;32;500;1294368;1992181216.050000;278;0.324862;1310752;16.773439
scalar-reorder;16;16;128;32;500;1294368;1963180583.800000;278;0.329661;1310752;16.531021
scalar-blocking;16;16;128;32;500;1294368;1283401570.600000;278;0.504272;1310752;10.797474
other-unroll;16;16;128;32;500;1294368;372301964.000000;278;1.738331;1310752;3.136037
vector_optimized;16;16;128;32;500;1294368;714985353.950000;278;0.905171;1310752;6.021370
combined;16;16;128;32;500;1294368;354209984.700000;278;1.827120;1310752;2.983244
Baseline;32;16;16;32;500;2469936;1743814350.500000;0;0.708199;2584608;14.684418
jc-reordered;32;16;16;32;500;2469936;1460728181.850000;0;0.845447;2584608;12.299532
scalar-reorder;32;16;16;32;500;2469936;1441940630.350000;0;0.856462;2584608;12.143695
scalar-blocking;32;16;16;32;500;2469936;831248218.650000;0;1.485679;2584608;7.002245
other-unroll;32;16;16;32;500;2469936;482471708.150000;0;2.559669;2584608;4.066365
vector_optimized;32;16;16;32;500;2469936;654288972.950000;0;1.887496;2584608;5.512318
combined;32;16;16;32;500;2469936;376450337.750000;0;3.280560;2584608;3.173127
Baseline;64;16;16;32;500;4939344;3429785308.600000;0;0.720066;5160992;28.881890
jc-reordered;64;16;16;32;500;4939344;2898985362.000000;0;0.851909;5160992;24.412326
scalar-reorder;64;16;16;32;500;4939344;2766215731.900000;0;0.892798;5160992;23.296189
scalar-blocking;64;16;16;32;500;4939344;1706346048.450000;0;1.447345;5160992;14.377332
other-unroll;64;16;16;32;500;4939344;994500997.250000;0;2.483328;5160992;8.384478
vector_optimized;64;16;16;32;500;4939344;1338052724.200000;0;1.845721;5160992;11.274368
combined;64;16;16;32;500;4939344;792161003.150000;0;3.117639;5160992;6.679398
Baseline;128;16;16;32;500;9878160;7643004489.100000;0;0.646222;10313760;64.347876
jc-reordered;128;16;16;32;500;9878160;6159916940.450000;0;0.801810;10313760;51.874810
scalar-reorder;128;16;16;32;500;9878160;6493197862.300000;0;0.760654;10313760;54.678429
scalar-blocking;128;16;16;32;500;9878160;4555880045.550000;0;1.084111;10313760;38.370831
other-unroll;128;16;16;32;500;9878160;2833951173.150000;0;1.742825;10313760;23.873972
vector_optimized;128;16;16;32;500;9878160;3685840150.300000;0;1.340015;10313760;31.042082
combined;128;16;16;32;500;9878160;2513986410.450000;0;1.964641;10313760;21.180130
Baseline;16;16;16;64;500;2481440;1872056984.000000;0;0.662758;2549792;15.766019
jc-reordered;16;16;16;64;500;2481440;1543522638.450000;0;0.803824;2549792;12.994927
scalar-reorder;16;16;16;64;500;2481440;1493614968.150000;0;0.830683;2549792;12.576840
scalar-blocking;16;16;16;64;500;2481440;827662586.950000;0;1.499065;2549792;6.972360
other-unroll;16;16;16;64;500;2481440;480254706.700000;0;2.583462;2549792;4.048017
vector_optimized;16;16;16;64;500;2481440;694599968.200000;0;1.786237;2549792;5.852500
combined;16;16;16;64;500;2481440;372736020.750000;0;3.328683;2549792;3.143105
Baseline;16;16;16;96;500;3727648;2844779377.900000;0;0.655173;3803168;23.964323
jc-reordered;16;16;16;96;500;3727648;2353937519.850000;0;0.791790;3803168;19.821930
scalar-reorder;16;16;16;96;500;3727648;2233830426.800000;0;0.834362;3803168;18.812425
scalar-blocking;16;16;16;96;500;3727648;1334428842.150000;0;1.396720;3803168;11.242857
other-unroll;16;16;16;96;500;3727648;753482341.850000;0;2.473613;3803168;6.351647
vector_optimized;16;16;16;96;500;3727648;960806270.600000;0;1.939854;3803168;8.095259
combined;16;16;16;96;500;3727648;605026002.850000;0;3.080568;3803168;5.101718
Baseline;16;16;16;128;500;4973856;3787566148.350000;0;0.656603;5056544;31.899972
jc-reordered;16;16;16;128;500;4973856;3269591506.600000;0;0.760623;5056544;27.536634
scalar-reorder;16;16;16;128;500;4973856;3181038283.200000;0;0.781798;5056544;26.793627
scalar-blocking;16;16;16;128;500;4973856;1817176092.100000;0;1.368567;5056544;15.310563
other-unroll;16;16;16;128;500;4973856;1064584896.600000;0;2.336054;5056544;8.973890
vector_optimized;16;16;16;128;500;4973856;1495942792.150000;0;1.662449;5056544;12.606951
combined;16;16;16;128;500;4973856;840599800.450000;0;2.958516;5056544;7.088994
Baseline;16;16;16;192;500;7466272;6629018316.550000;0;0.563151;7563296;55.805115
jc-reordered;16;16;16;192;500;7466272;5757888910.000000;0;0.648352;7563296;48.486347
scalar-reorder;16;16;16;192;500;7466272;6255879799.050000;0;0.596740;7563296;52.680889
scalar-blocking;16;16;16;192;500;7466272;3305779662.350000;0;1.129276;7563296;27.848928
other-unroll;16;16;16;192;500;7466272;2096201910.450000;0;1.780905;7563296;17.663175
