Implementation;K;N;M;T;max_iterations;Flops;Cylces;Iterations;Performance;Memory (aprox.)(bytes);Benchmark time(s)
Baseline;16;16;16;32;500;1235232;702167524.450000;258;0.879585;1296416;5.913717
jc-reordered;16;16;16;32;500;1235232;715713975.300000;258;0.862937;1296416;6.026635
scalar-reorder;16;16;16;32;500;1235232;573691135.400000;258;1.076565;1296416;4.831973
scalar-blocking;16;16;16;32;500;1235232;441884461.850000;258;1.397687;1296416;3.722043
other-unroll;16;16;16;32;500;1235232;522100302.100000;258;1.182945;1296416;4.397435
vector_optimized;16;16;16;32;500;1235232;287027820.650000;258;2.151764;1296416;2.418289
combined;16;16;16;32;500;1235232;197484309.700000;258;3.127418;1296416;1.664574
Baseline;16;16;32;32;500;1243680;892074091.700000;204;0.697072;1298464;7.512475
jc-reordered;16;16;32;32;500;1243680;866217575.050000;204;0.717880;1298464;7.288462
scalar-reorder;16;16;32;32;500;1243680;771060470.900000;204;0.806474;1298464;6.494683
scalar-blocking;16;16;32;32;500;1243680;578540434.250000;204;1.074843;1298464;4.873717
other-unroll;16;16;32;32;500;1243680;559900305.850000;204;1.110626;1298464;4.716442
vector_optimized;16;16;32;32;500;1243680;315952959.650000;204;1.968141;1298464;2.662912
combined;16;16;32;32;500;1243680;232350567.650000;204;2.676301;1298464;1.958410
Baseline;16;16;64;32;500;1260576;1232310390.250000;131;0.511469;1302560;10.375237
jc-reordered;16;16;64;32;500;1260576;1194029803.400000;131;0.527866;1302560;10.057776
scalar-reorder;16;16;64;32;500;1260576;1133688416.100000;131;0.555962;1302560;9.548756
scalar-blocking;16;16;64;32;500;1260576;831623958.750000;131;0.757900;1302560;7.005088
other-unroll;16;16;64;32;500;1260576;621294504.700000;131;1.014475;1302560;5.233541
vector_optimized;16;16;64;32;500;1260576;370986133.150000;131;1.698953;1302560;3.126362
combined;16;16;64;32;500;1260576;288688454.650000;131;2.183281;1302560;2.433042
Baseline;16;16;128;32;500;1294368;1883550534.150000;366;0.343598;1310752;15.861246
jc-reordered;16;16;128;32;500;1294368;1812196111.900000;366;0.357127;1310752;15.261625
scalar-reorder;16;16;128;32;500;1294368;1852529462.900000;366;0.349352;1310752;15.600596
scalar-blocking;16;16;128;32;500;1294368;1323609933.850000;366;0.488954;1310752;11.147099
other-unroll;16;16;128;32;500;1294368;729995305.150000;366;0.886559;1310752;6.148745
vector_optimized;16;16;128;32;500;1294368;481369389.750000;366;1.344464;1310752;4.056165
combined;16;16;128;32;500;1294368;385286559.750000;366;1.679747;1310752;3.246399
Baseline;16;16;256;32;500;1361952;3029578974.750000;106;0.224776;1327136;25.509459
jc-reordered;16;16;256;32;500;1361952;2933531004.100000;106;0.232135;1327136;24.701648
scalar-reorder;16;16;256;32;500;1361952;3111962645.950000;106;0.218825;1327136;26.203382
scalar-blocking;16;16;256;32;500;1361952;2235924340.800000;106;0.304561;1327136;18.829470
other-unroll;16;16;256;32;500;1361952;947196995.150000;106;0.718938;1327136;7.978159
vector_optimized;16;16;256;32;500;1361952;702950691.700000;106;0.968739;1327136;5.922110
combined;16;16;256;32;500;1361952;573946222.100000;106;1.186480;1327136;4.835731
Baseline;16;16;512;32;500;1497120;5337689031.950000;101;0.140240;1359904;44.942403
jc-reordered;16;16;512;32;500;1497120;5194166182.900000;101;0.144116;1359904;43.730780
scalar-reorder;16;16;512;32;500;1497120;5635788916.450000;101;0.132823;1359904;47.452240
scalar-blocking;16;16;512;32;500;1497120;3935299448.600000;101;0.190217;1359904;33.134970
other-unroll;16;16;512;32;500;1497120;1375555512.450000;101;0.544187;1359904;11.584956
vector_optimized;16;16;512;32;500;1497120;1150468993.350000;101;0.650656;1359904;9.689903
combined;16;16;512;32;500;1497120;943152089.400000;101;0.793679;1359904;7.944775
Baseline;16;16;1024;32;500;1767456;9866341077.150000;260;0.089570;1425440;83.065180
jc-reordered;16;16;1024;32;500;1767456;9607383853.700001;260;0.091984;1425440;80.889289
scalar-reorder;16;16;1024;32;500;1767456;10625908425.750000;260;0.083167;1425440;89.467190
