K,N,M,T,Baseline Cycles,Baseline Performance,WIP Scalar Cycles,WIP Scalar Performance,Josua Cycles,Josua Performance
4,4,4,4,9016.000000,0.610000,7597.000000,0.720000,7894.000000,0.690000
4,4,4,8,15736.000000,0.710000,12335.000000,0.900000,12479.000000,0.890000
4,4,4,12,24371.000000,0.690000,18282.000000,0.920000,17708.000000,0.950000
4,4,4,16,31280.000000,0.720000,23410.000000,0.960000,23694.000000,0.950000
4,4,4,20,40748.000000,0.690000,32721.000000,0.860000,29788.000000,0.940000
4,4,4,24,48471.000000,0.700000,35984.000000,0.940000,37272.000000,0.910000
4,4,4,28,57708.000000,0.680000,46204.000000,0.850000,42596.000000,0.930000
4,4,8,4,10250.000000,0.560000,9115.000000,0.630000,8752.000000,0.660000
4,4,8,8,22348.000000,0.510000,16612.000000,0.690000,17208.000000,0.660000
4,4,8,12,71693.000000,0.240000,24631.000000,0.690000,23361.000000,0.730000
4,4,8,16,64492.000000,0.350000,49653.000000,0.460000,51813.000000,0.440000
4,4,8,20,81730.000000,0.350000,66726.000000,0.430000,69050.000000,0.410000
4,4,8,24,100540.000000,0.340000,112255.000000,0.300000,115850.000000,0.290000
4,4,8,28,65858.000000,0.600000,51646.000000,0.770000,96586.000000,0.410000
4,4,12,4,11477.000000,0.530000,11411.000000,0.530000,9871.000000,0.610000
4,4,12,8,22480.000000,0.520000,18719.000000,0.620000,18106.000000,0.650000
4,4,12,12,34778.000000,0.500000,29558.000000,0.590000,26802.000000,0.650000
4,4,12,16,88118.000000,0.260000,75886.000000,0.300000,76431.000000,0.300000
4,4,12,20,62690.000000,0.460000,50469.000000,0.570000,50196.000000,0.570000
4,4,12,24,71527.000000,0.480000,56885.000000,0.600000,59015.000000,0.580000
4,4,12,28,74853.000000,0.530000,59705.000000,0.670000,57730.000000,0.690000
4,4,16,4,12799.000000,0.490000,12150.000000,0.520000,11098.000000,0.570000
4,4,16,8,25430.000000,0.470000,21073.000000,0.570000,20307.000000,0.590000
